,song_id,song_name,img,duration_ms,song_explicit,url,popularity,date_time_played,album_id,artist_id,scrape1,scraper2
40,7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac,283800,True,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,83,2022-02-22 00:47:34.337000+00:00,54V1ljNtyzAm053oJqi0SH,Lynyrd Skynyrd,1994,0
41,5dcwiQFqn0mTcWewYIv7MV,Personal Jesus,https://i.scdn.co/image/ab67616d0000b2736f4f62da3d811b6501a69ffa,199240,False,https://open.spotify.com/track/5dcwiQFqn0mTcWewYIv7MV,63,2022-02-22 00:42:50.175000+00:00,2BlL4Gv2DLPu8p58Wcmlm9,Johnny Cash,2002,1932- 02- 26
42,141XsxpUkbj7AkQKT8vySq,Goin' Out West,https://i.scdn.co/image/ab67616d0000b27386fc23b8ae19c2455ae00e82,200240,False,https://open.spotify.com/track/141XsxpUkbj7AkQKT8vySq,55,2022-02-22 00:39:30.671000+00:00,5blxyZRgkA735vO40p56MA,Tom Waits,2019- 01- 11,1949- 12- 07
43,6RFkVsPmrM4pzlDkFswwJl,God's Gonna Cut You Down,https://i.scdn.co/image/ab67616d0000b273bed30c3640a8c8929d65ed3f,158573,False,https://open.spotify.com/track/6RFkVsPmrM4pzlDkFswwJl,66,2022-02-22 00:36:10.044000+00:00,40ObOkEaQKVmcJ6k1W2xMg,Johnny Cash,2006- 12- 15,1932- 02- 26
44,7JOizhmt3HlBgQyJEa0AgK,Short Change Hero,https://i.scdn.co/image/ab67616d0000b273463986d828c59a03f2ab0a3f,322266,False,https://open.spotify.com/track/7JOizhmt3HlBgQyJEa0AgK,63,2022-02-22 00:33:30.647000+00:00,0sKcuounq52lm9hmFwEZN5,The Heavy,2014- 03- 28,0
45,6ZWn1MVUaBH2HNQobhMYeE,Little Black Submarines - Radio Edit [radio edit],https://i.scdn.co/image/ab67616d0000b2735075047f270e38efd3ed02b3,204692,False,https://open.spotify.com/track/6ZWn1MVUaBH2HNQobhMYeE,50,2022-02-22 00:28:08.194000+00:00,2ZO3hTVFwvi08797IONxbs,The Black Keys,2012,0
46,0oTGa77jJ1H5joTG5SvxFj,Second One To Know,https://i.scdn.co/image/ab67616d0000b2736b3e3357c9192722c1236b49,176066,False,https://open.spotify.com/track/0oTGa77jJ1H5joTG5SvxFj,61,2022-02-22 00:24:43.338000+00:00,5L0e8X6Mf9lfjs2miK2WUB,Chris Stapleton,2010,1978- 04- 15
47,3BCsNM2w6HcCbrVWlhjTpk,White House Road (OurVinyl Sessions),https://i.scdn.co/image/ab67616d0000b27300371fe8dea3aaee297644cf,268000,False,https://open.spotify.com/track/3BCsNM2w6HcCbrVWlhjTpk,61,2022-02-22 00:21:46.404000+00:00,42nsomRaEURVkNt7IF1IFu,Tyler Childers,0,1991- 06- 21
48,2iPTESocncak2Q45oXzKOG,Beat the Devil's Tattoo,https://i.scdn.co/image/ab67616d0000b273f78d05679587a7aa8ff45fe0,225760,False,https://open.spotify.com/track/2iPTESocncak2Q45oXzKOG,56,2022-02-22 00:17:17.883000+00:00,04Aq1J0F5FcUUSEhFziTYc,Black Rebel Motorcycle Club,2010- 03- 16,0
49,204U3zjm9kkzX25Pr4Rdld,Kelly Price (feat. Travis Scott),https://i.scdn.co/image/ab67616d0000b273cf9b68115dcb2a222c252f00,363934,True,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld,64,2022-02-22 00:16:17.347000+00:00,2AvupjUeMnSffKEV05x222,Migos,2011- 05- 03,0
